Bands(3), Pixels(104)
24.817,37.37725,74.69075
25.12,37.9185,75.5875
25.16325,36.91075,74.682
24.8115,37.48825,74.7475
24.687,37.94825,75.12725
25.25025,37.62325,75.4075
24.94725,37.65875,75.06375
24.7475,37.3355,74.57575
25.3055,37.29975,75.14075
25.04375,37.538,75.0385
25.039,37.57325,75.081
25.41025,37.417,75.23775
24.811,37.61825,74.9225
25.344,37.43325,75.24025
25.64975,37.5295,75.607
25.0585,37.551,75.11825
24.81075,38.003,75.296
24.906,37.8245,75.26925
25.2765,37.85475,75.6065
24.99275,36.90175,74.40075
25.108,37.40425,74.9155
24.53275,37.26975,74.30775
24.9595,37.3175,74.80775
24.905,37.591,74.94875
24.5925,37.55175,74.59975
25.5435,37.71225,75.662
24.73075,37.708,74.794
25.286,37.319,75.173
24.95775,36.9795,74.44525
24.58575,37.17925,74.294
25.287,37.28925,75.0325
24.86975,37.23475,74.661
25.0945,37.35675,74.9505
25.01925,37.42725,74.904
24.962,37.42075,74.85625
25.09125,37.40225,75.0065
24.74925,37.828,75.02575
24.92475,37.183,74.61125
25.4115,37.76175,75.7475
25.29075,37.91675,75.712
24.8605,37.4525,74.86825
24.77625,37.4435,74.77675
25.125,37.37125,75.04025
24.6615,37.17275,74.313
24.8125,37.54125,74.885
25.169,37.38825,75.042
24.93875,37.2625,74.69575
25.243,37.67225,75.45575
25.1405,37.73875,75.4415
24.853,37.8,75.19425
25.22075,37.31875,74.963
24.596,37.572,74.6725
24.78075,37.451,74.6595
24.6285,37.5765,74.61775
25.22925,38.04025,75.76125
25.12175,37.626,75.2345
24.6785,37.54575,74.73175
24.6065,37.52675,74.592
25.03375,37.26675,74.7565
24.865,37.37725,74.66125
25.22375,37.6435,75.40725
24.91325,37.95025,75.24
25.19725,37.8375,75.508
24.842,37.36475,74.6495
24.973,37.6025,75.0085
25.21925,37.4265,75.098
25.349,37.55225,75.4155
25.2225,37.3225,75.024
24.95025,37.599,74.971
25.19725,37.40475,75.046
24.7305,37.6455,74.7945
25.08725,37.695,75.24775
25.03,37.263,74.7785
25.011,37.68275,75.20875
25.20575,37.2715,74.99625
25.22375,37.628,75.28325
25.559,37.511,75.6185
25.42475,37.34,75.21275
24.3165,37.397,74.16675
25.13375,37.93725,75.545
24.993,37.47525,74.8775
25.25975,37.8535,75.65225
24.8675,37.72775,75.165
24.835,37.7405,75.03925
25.05025,37.34825,74.837
25.097,38.06525,75.58175
25.257,37.575,75.2955
25.2715,37.4835,75.2295
25.569,37.55725,75.6085
25.31575,37.4325,75.19075
25.053,37.42125,74.93175
25.104,37.352,74.8565
25.5,37.6105,75.5255
24.81275,37.37775,74.515
24.795,37.036,74.22875
24.8335,37.192,74.47975
25.08275,37.44425,75.0425
24.55875,37.746,74.72175
25.05025,37.5035,75.0175
24.971,37.64175,75.1285
25.2975,37.7575,74.7275
24.76,37.285,75.2375
24.7375,37.2225,75.28
25.2325,37.7225,74.775
